program	optimization	track	trial	model	reasoning	response_valid	trace_clean	compile_ok	compile_warnings	run_ok	exit_code	stderr_empty	stdout_exact	stdout_token_similarity	reexecutability	model_wall_seconds	run_path	detail_path
01_basic_struct	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4810	0	152	runs/result-only/x86_64-linux-gnu-11.4.0/O0/01_basic_struct/asm-only/trial-1	O0/01_basic_struct/asm-only/trial-1
02_recursive_struct	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.7470	0	186	runs/result-only/x86_64-linux-gnu-11.4.0/O0/02_recursive_struct/asm-only/trial-1	O0/02_recursive_struct/asm-only/trial-1
03_flexible_array	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.6875	0	173	runs/result-only/x86_64-linux-gnu-11.4.0/O0/03_flexible_array/asm-only/trial-1	O0/03_flexible_array/asm-only/trial-1
04_tagged_union	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3137	0	231	runs/result-only/x86_64-linux-gnu-11.4.0/O0/04_tagged_union/asm-only/trial-1	O0/04_tagged_union/asm-only/trial-1
05_anon_union	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2373	0	295	runs/result-only/x86_64-linux-gnu-11.4.0/O0/05_anon_union/asm-only/trial-1	O0/05_anon_union/asm-only/trial-1
06_multidim_array	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.7103	0	287	runs/result-only/x86_64-linux-gnu-11.4.0/O0/06_multidim_array/asm-only/trial-1	O0/06_multidim_array/asm-only/trial-1
07_singly_linked_list	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1360	0	195	runs/result-only/x86_64-linux-gnu-11.4.0/O0/07_singly_linked_list/asm-only/trial-1	O0/07_singly_linked_list/asm-only/trial-1
08_doubly_linked_list	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4362	0	164	runs/result-only/x86_64-linux-gnu-11.4.0/O0/08_doubly_linked_list/asm-only/trial-1	O0/08_doubly_linked_list/asm-only/trial-1
09_binary_tree	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.4528	0	119	runs/result-only/x86_64-linux-gnu-11.4.0/O0/09_binary_tree/asm-only/trial-1	O0/09_binary_tree/asm-only/trial-1
10_avl_tree	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.0978	0	1507	runs/result-only/x86_64-linux-gnu-11.4.0/O0/10_avl_tree/asm-only/trial-1	O0/10_avl_tree/asm-only/trial-1
11_intrusive_list	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.9247	0	220	runs/result-only/x86_64-linux-gnu-11.4.0/O0/11_intrusive_list/asm-only/trial-1	O0/11_intrusive_list/asm-only/trial-1
12_bitfields_packed	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.9655	0	330	runs/result-only/x86_64-linux-gnu-11.4.0/O0/12_bitfields_packed/asm-only/trial-1	O0/12_bitfields_packed/asm-only/trial-1
13_vtable_objects	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1061	0	225	runs/result-only/x86_64-linux-gnu-11.4.0/O0/13_vtable_objects/asm-only/trial-1	O0/13_vtable_objects/asm-only/trial-1
14_array_of_structs	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3383	0	257	runs/result-only/x86_64-linux-gnu-11.4.0/O0/14_array_of_structs/asm-only/trial-1	O0/14_array_of_structs/asm-only/trial-1
15_ast_interpreter	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1875	0	365	runs/result-only/x86_64-linux-gnu-11.4.0/O0/15_ast_interpreter/asm-only/trial-1	O0/15_ast_interpreter/asm-only/trial-1
16_hash_table	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.1159	0	276	runs/result-only/x86_64-linux-gnu-11.4.0/O0/16_hash_table/asm-only/trial-1	O0/16_hash_table/asm-only/trial-1
17_graph	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.2492	0	310	runs/result-only/x86_64-linux-gnu-11.4.0/O0/17_graph/asm-only/trial-1	O0/17_graph/asm-only/trial-1
18_opaque_generic	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.8824	0	240	runs/result-only/x86_64-linux-gnu-11.4.0/O0/18_opaque_generic/asm-only/trial-1	O0/18_opaque_generic/asm-only/trial-1
19_state_machine	O0	asm-only	trial-1	gpt-5.6-sol	high	1	1	1	0	1	0	1	0	0.3789	0	270	runs/result-only/x86_64-linux-gnu-11.4.0/O0/19_state_machine/asm-only/trial-1	O0/19_state_machine/asm-only/trial-1
